"idx","in_time","out_time","location","fd_reg_date"
4743,"2017-04-21 11:03:51","2017-04-21 11:19:47","C5","2017-04-21 20:09:34"
4742,"2017-04-21 11:03:18","2017-04-21 11:03:51","C5","2017-04-21 20:09:34"
4741,"2017-04-21 10:57:44","2017-04-21 10:59:40","C2","2017-04-21 20:09:34"
4740,"2017-04-21 10:57:00","2017-04-21 10:57:44","C2","2017-04-21 20:09:34"
4739,"2017-04-21 10:53:39","2017-04-21 10:55:12","C1","2017-04-21 20:09:34"
4738,"2017-04-21 10:52:57","2017-04-21 10:53:39","C1","2017-04-21 20:09:34"
4737,"2017-04-21 10:38:51","2017-04-21 10:46:35","C2","2017-04-21 20:09:34"
4736,"2017-04-21 10:37:47","2017-04-21 10:38:51","C2","2017-04-21 20:09:34"
4735,"2017-04-21 10:21:46","2017-04-21 10:27:53","C2","2017-04-21 20:09:34"
4734,"2017-04-21 10:21:00","2017-04-21 10:21:46","C2","2017-04-21 20:09:34"
4733,"2017-04-21 10:15:39","2017-04-21 10:20:47","T1","2017-04-21 20:09:34"
4732,"2017-04-21 10:15:12","2017-04-21 10:15:39","T1","2017-04-21 20:09:34"
4731,"2017-04-21 10:12:05","2017-04-21 10:13:10","C2","2017-04-21 20:09:34"
4730,"2017-04-21 10:11:49","2017-04-21 10:12:05","C2","2017-04-21 20:09:34"
4729,"2017-04-21 10:08:50","2017-04-21 10:11:37","C1","2017-04-21 20:09:34"
4728,"2017-04-21 10:08:22","2017-04-21 10:08:50","C1","2017-04-21 20:09:34"
4727,"2017-04-21 10:07:33","2017-04-21 10:08:12","C4","2017-04-21 20:09:34"
4726,"2017-04-21 10:06:55","2017-04-21 10:07:33","C4","2017-04-21 20:09:34"
4725,"2017-04-20 16:16:48","2017-04-20 16:23:29","C4","2017-04-20 19:11:14"
4724,"2017-04-20 16:16:35","2017-04-20 16:16:48","C4","2017-04-20 19:11:14"
4723,"2017-04-20 16:14:10","2017-04-20 16:15:56","P1","2017-04-20 19:11:14"
4722,"2017-04-20 16:13:31","2017-04-20 16:14:10","P1","2017-04-20 19:11:14"
